Metric,Naive Bayes,LSTM
Accuracy,0.4177215189873418,0.3924050632911392
Precision,0.4154315802347549,0.40775671537347663
Recall,0.4177215189873418,0.3924050632911392
F1-Score,0.41528609456192617,0.36136748569610955
